авторизована конвертація документу,autorizovaná konverze dokumentu
агентство з працевлаштування,pracovní agentura
адаптаційно-інтеграційний курс,adaptačně‐integrační kurz
адміністративне провадження,správní řízení
адміністративний збір,správní poplatek
адміністративний орган,správní orgán
адреса для кореспонденції,doručovací adresa
"адреса зареєстрованого місця проживання в Чеській
Республіці",adresa hlášeného pobytu na území ČR
адреса постійного місця проживання,adresa trvalého bydliště
анулювати візу,zneplatnit vízum
альтернативна дата,náhradní temín
апостиль,apostila
афідевіт (власноручне засвідчення),čestné prohlášení
безперервне перебування,nepřetržitý pobyt
паспорт громадянина України,občanský průkaz
борг,dluh
моє бронювання,moje rezervace
валідація даних (перевірка дійсності даних),validace údajů
вебсайт,webové stránky
ви зобов'язані / маєте обов'язок,máte povinnost
видалення облікового запису,zrušení uživatelského účtu
визначений строк,doba určitá
витяг з кадастру нерухомості,výpis z katastru nemovitostí
витяг про несудимості (раніше - довідка про несудимість),výpis z rejstříku trestů
"виплати в рамках страхування 
по тимчасовій непрацездатності",dávky nemocenského pojištění
виплати з пенсійного страхування,dávky důchodového pojištění
випробувальний строк / період,zkušební doba
витрати на житло,náklady na bydlení
"витрати на житло, що підлягають врахуванню (розрахункові
витрати)",započitatelné náklady na bydlení
виявлення інтересу,vyjádření zájmu
відділення за місцем проживання,spádové pracoviště
відкликання заяви,zpětvzetí žádosti
відмова,odmítnutí
відмова від тимчасового захисту,vzdání se dočasné ochrany
відсутність заборгованості,bezdlužnost
відтермінування обов’язкового відвідування школи,odklad (povinné) školní docházky
віза з метою толерантності,vízum za účelem strpění
візова наклейка,vízový štítek
вільний доступ до ринку праці,volný přístup na trh práce
власник нерухомості,majitel nemovitosti
возз'єднання сім'ї,sloučení rodiny
вразлива особа,zranitelná osoba
геріатричний пансіонат (будинок престарілих),domov pro seniory
графік роботи,úřední hodiny
громадянство,státní příslušnost / občanství
гуманітарна допомога,humanitární dávky
дата відправлення,den odeslání
дата народження,datum narození
дати згоду на обробку та зберігання персональних даних,dát souhlas se zpracováním a uložením osobních údajů
"Департамент з питань надання притулку та міграційної
політики (OAMP)",odbor azylové a migrační politiky
депортація,deportace
Державна міграційна служба,Státní migrační služba
державне гуманітарне житло,státní humanitární ubytování
державне медичне страхування,veřejné zdravotní pojištění
державні установи,úřady
деталі бронювання,detail rezervace
дитина на утриманні,nezaopatřené dítě
дитяча група,dětská skupina
дитячий будинок,dětský domov
дитячі ясла,dětské jesle
дійсна адреса електронної пошти,platná e-mailová adresa
добровільне повернення,dobrovolný návrat
довгострокове перебування,dlouhodobý pobyt
довідка про дійсний дозвіл на перебування,potvrzení o pobytu
довідка про історію попередніх дозволів на перебування,potvrzení o historii pobytu
довідка про перетин державного кордону,hraniční průvodka
довіреність,plná moc
договір оренди,nájemní smlouva
дозвіл на перебування,pobytové oprávnění
дозвіл на постійне проживання,trvalý pobyt
дозвіл на тимчасове перебування,přechodný pobyt
документ про наявність житла,doklad o ubytování
"документ, що посвідчує особу",průkaz totožnosti
домашнє насильство,domácí násilí
економічна незалежність,ekonomická nezávislost
електронна ідентифікація / е-ідентифікація,elektronická identifikace / e-identita
електронна скринька даних,datová schránka
електронна реєстратура,elektronická podatelna
"електронний підпис (визнаний / гарантований /
кваліфікований)",elektronický podpis (uznávaný / zaručený / kvalifikovaný)
житловий кооператив,bytové družstvo
завірений переклад,úředně ověřený překlad
законний представник,zákonný zástupce
законопроєкт,návrh zákona
закордонний паспорт,cestovní pas
запис (на візит) через Iнформаційний портал для іноземців,objednávání prostřednictvím Informačního portálu pro cizince
записатися / запис,objednat se / objednání
зареєстроване місце проживання,hlášený pobyt
зареєстрований користувач,registrovaný uživatel
заробітна плата,mzda
засновник спільного домогосподарства,zakladatel společné domácnosti
застосунок,"aplikace (mobilní, webová)"
заява про правопорушення,trestní oznámení
заява про скасування облікового запису,formulář žádosti o zrušení účtu
зміна мети перебування,změna účelu pobytu
зміни до закону Lex Ukrajina,změny zákona Lex Ukrajina
змінити термін (візиту),změnit termín (návštěvy)
зняття біометричних даних,snímání biometrických údajů
зупинення провадження,zastavení řízení
iдентифікація громадянина / банківська ідентифікація,identita občana / bankovní identita
ідентифікація громадянина за актом цивільного стану,matriční identita
Інформаційна лінія про тимчасовий захист,Informační linka k dočasné ochraně
Інформаційний портал для іноземців,Informační portál pro cizince
інформація про надання житла,informace o přidělení ubytování
кадастр нерухомості,katastr nemovitostí
календарні дні,kalendářní dny
картка дозволу на перебування,průkaz o povolení k pobytu
квартира у приватній власності,byt v osobním vlastnictví
Клієнтський центр для надання інформації іноземцям,Klientské centrum pro poskytování informací cizincům
комерційний реєстр,obchodní rejstřík
комплексне медичне страхування (комерційне),komplexní zdravotní pojištění (komerční)
компетенція,gesce
консульство,konzulát
кооперативне житло,družstevní bydlení
непідтверджений користувач,neověřený uživatel
підтверджений користувач,ověřený uživatel
короткочасний притулок,krátkodobé přístřeší
Крайовий центр допомоги Україні (KACPU),Krajské asistenční centrum pomoci Ukrajině (KACPU)
кримінальна відповідальність,trestní odpovědnost
кримінальний закон,trestní zákon
маломобільна особа,imobilní osoba
медична страхова компанія,zdravotní pojišťovna
"мінімум, необхідний для існування",existenční minimum
Міністерство внутрішніх справ,Ministerstvo vnitra
Міністерство закордонних справ,Ministerstvo zahraničních věcí
Міністерство культури,Ministerstvo kultury
Міністерство оборони,Ministerstvo obrany
"Міністерство освіти, молоді та фізичної культури (MŠMT)","Ministerstvo školství, mládeže a tělovýchovy (MŠMT)"
Міністерство охорони здоров'я,Ministerstvo zdravotnictví
Міністерство охорони навколишнього середовища,Ministerstvo životního prostředí
Міністерство праці та соціальних справ,Ministerstvo práce a sociálních věcí
Міністерство промисловості та торгівлі,Ministerstvo průmyslu a obchodu
Міністерство регіонального розвитку,Ministerstvo pro místní rozvoj
Міністерство сільського господарства,Ministerstvo zemědělství
Міністерство транспорту,Ministerstvo dopravy
Міністерство фінансів,Ministerstvo financí
Міністерство юстиції,Ministerstvo spravedlnosti
надання додаткових документів до заяви,doložení písemností do žádosti
національність,národnost
невдала валідація (даних),neúspěšná validace
невизначений строк,doba neurčitá
незалежність від отримання гуманітарної допомоги,nepobírání humanitární dávky
незалежність від системи соціального забезпечення,nezávislost na sociálním systému
некомерційна організація,nezisková organizace
неповнолітня дитина,nezletilé dítě
неповнолітня особа без супроводу,nezletilá osoba bez doprovodu
несудимість,bezúhonnost
номер банківського рахунку,číslo bankovního účtu
номер закордонного паспорта,číslo cestovního dokladu
номер заяви на візу,číslo ŽOV
облік,evidence
обліковий запис користувача,uživatelský účet
обмін дозволу на перебування на дублікат,výměna povolení k pobytu za duplikat
обов'язок,povinnost
ознайомлення з матеріалами справи,nahlížení do spisu
онлайн-запис,internetové objednání
опікун / піклувальник,opatrovník
Орган державної реєстрації підприємництва,Živnostenský úřad
Орган соціально-правового захисту дітей (OSPOD),Orgán sociálně‑právní ochrany dětí (OSPOD)
орієнтовний номер будинку за вулицею,číslo orientační
оскарження,odvolání
особа з інвалідністю,invalidní osoba
"особа, яка надає житло",ubytovatel
особи з тимчасовим захистом,držitelé dočasné ochrany
особистий профіль,osobní profil
офіційно засвідчений підпис,úředně ověřený podpis
"особи, яких можна додати до виявлення інтересу","osoby, které se mohou k vyjádření zájmu připojit"
"особи, які мають обов’язок спільно виявити інтерес",osoby povinně vyjadřující zájem společně
паушальний рівень,paušální pásmo
перебіг законодавчого процесу,vývoj legislativního procesu
перевірка чинності тимчасового захисту,ověření platnosti DO
перенести термін бронювання,změnit termín rezervace
персональні дані,osobní údaje
персональні дані згідно з закордонним паспортом,osobní údaje podle pasu
підробіток / тимчасова робота,brigáda
підтвердження адреси електронної пошти,potvrzení e-mailové adresy
"підтвердження електронної реєстрації на продовження
тимчасового захисту","potvrzení o provedení elektronické registrace k prodloužení dočasné
ochrany"
підтвердження про надання житла (формуляр),potvrzení o zajištění ubytování (formulář)
"підтвердження про продовження тимчасового захисту у
форматі PDF",PDF potvrzení o prodloužení dočasné ochrany
післяплата,dobírka
платник податку,daňový poplatník
поважна причина,závažný důvod
повідомлення про зміни,ohlašení změn
повідомлення про втрату документів,nahlášení ztráty dokladů
повторна заява про надання тимчасового захисту,opakovaná žádost o dočasnou ochranu
подання заяви,podání žadosti
податкова декларація,daňové přiznání
податок на додану вартість,daň z přidané hodnoty
податок на доходи фізичних осіб,daň z příjmů fyzických osob
податок на нерухоме майно,daň z nemovitosti
"податок на прибуток юридичних осіб
(підприємств)",daň z příjmů právnických osob
покарання,trest
поліція у справах іноземців,cizinecká policie
попередні умови,předběžné podmínky
попередній законопроєкт,předběžný návrh zákona
поправка до закону Lex Ukrajina,novela zákona Lex Ukrajina
Портал громадянина,Portal občana
порядковий номер,pořadové číslo
порядковий номер будинку,číslo popisné
посвідчення особи з інвалідністю,průkaz osoby se zdravotním postižením
посольство,velvyslanectví
Постанова уряду,nařízení vlády
поштовий індекс,poštovní směrovací číslo
представництво неповнолітньої особи,zastupování nezletilé osoby
приватний підприємець / ФОП,živnostník / OSVČ
прийомні батьки,adoptivní rodiče
Прикордонна служба,Pohraniční stráž
припинення тимчасового захисту,zánik dočasné ochrany
притулок,azyl
"причина, гідна особливого розгляду",důvod hodný zvláštního zřetele
прізвище,příjmení
продовження,prodloužení
"продовження терміну для усунення недоліків заяви (надання
відсутніх документів)","prodloužení lhůty k odstranění vad žádosti (doložení chybějících
dokladů)"
продовження тимчасового захисту,prodloužení dočasné ochrany
продовжити,pokračovat
прожитковий мінімум,životní minimum
пропустити,přeskočit
пропущене бронювання,propadlá rezervace
реєстр квартир,evidence bytů
реєстр населення,registr obyvatel
реєстр правопрорушників,trestní rejstřík
реєстр транспортних засобів,registr vozidel
реєстраційна картка іноземця,přihlašovací tiskopis cizince
реєстраційний номер будинку,číslo evidenční
реєстраційний номер справи,číslo jednací
режим паушального оподаткування,paušální daň
рекомендований лист,doporučený dopis
рішення,rozhodnutí
роботодавець,zaměstnavatel
робоча карта,zaměstnanecká karta
робочий час,pracovní doba
робочі дні,pracovní dny
розгляд заяви,vyřízení žádosti
"розгляд (справи, заяви)",řízení
розірвання трудового договору,rozvázání pracovního poměru
свідоцтво про народження,rodný list
свідоцтво про шлюб,oddací list
сирота,sirotek
скасоване бронювання,zrušená rezervace
скасування дозволу на перебування,zrušení pobytu
скасування тимчасового захисту,zrušení dočasné ochrany
скасувати бронювання,zrušit termín
спеціальний дозвіл на довгострокове перебування (ZDP),zvláštní dlouhodobý pobyt
співвласник нерухомості,spolumajitel nemovitosti
спільне виявлення інтересу,společné vyjádření zájmu
спільне домогосподарство,společná domácnost
сповіщення з підтвердженням,potvrzující notifikace
створення облікового запису користувача,založení uživatelského účtu
стан розгляду заяви (провадження),stav řízení
статус перебування,pobytový status
строк / термін,lhůta
соціальні виплати,sociální dávky
судовий письмовий перекладач,soudní překladatel
судовий усний перекладач,soudní tlumočník
телефонна лінія для запису на візит,objednávací linka
термін бронювання,termín rezervace
термін дії закордонного паспорта,datum platnosti cestovního dokladu
термін сплати,den splatnosti
термінал електронної черги,terminál vyvolávacího systému
тимчасова візова наклейка,překlenovací štítek
тимчасовий захист,dočasná ochrana
тип дозволу на перебування,typ pobytu / druh pobytu
Трудовий кодекс,zákoník práce
трудові відносини,pracovní poměr
"тур (реєстрації для надання спеціального дозволу на
довгострокове перебування)",kolo (registrace k získání zvláštního dlouhodobého pobytu)
угода про виконання певної роботи (DPP),dohoda o provedení práce (DPP)
угода про трудову діяльність (DPČ),dohoda o pracovní činnosti (DPČ)
унікальний PIN-код,unikátní PIN kód
підтверджений обліковий запис користувача,ověřený uživatelský účet
ухвалa,usnesení
фізична особа,fyzická osoba
форма,formulář
Центр зайнятості,Úřad práce
Центр підтримки інтеграції іноземців,Centrum na podporu integrace cizinců
Чеське управління соціального забезпечення (ČSSZ),Česká správa sociálního zabezpečení (ČSSZ)
член сім’ї громадянина ЄС,rodinný příslušník občana EU
чеський персональний ідентифікаційний номер (rodné číslo),rodné číslo
штамп (у паспорті),razítko (v pase)
юридична особа,právnická osoba